no,cooling_time,packing_time,injection_speed,VP_position,packing_pressure1,packing_pressure2,packing_pressure3,packing_time1,packing_time2,material_temperature,mold_temperature,warpage
1,18,10,10,14,40,20,10,1,2,190,40,0.09030574
2,18,10,20,16,50,30,15,2,3,210,60,0.069754828
3,18,10,25,17,55,35,17.5,2.5,3.5,220,70,0.073773986
4,18,10,30,18,60,40,20,3,4,230,80,0.070359662
5,18,11.5,15,15,45,30,15,2,3.5,220,70,0.083795223
6,18,11.5,20,16,50,35,17.5,2.5,4,230,80,0.080052633
7,18,11.5,25,17,55,40,20,3,2,190,40,0.055485224
8,18,11.5,30,18,60,20,10,1,2.5,200,50,0.077243939
9,18,13,10,14,40,30,15,2,4,230,80,0.070505787
10,18,13,15,15,45,35,17.5,2.5,2,190,40,0.067269562
11,18,13,20,16,50,40,20,3,2.5,200,50,0.076671004
12,18,13,25,17,55,20,10,1,3,210,60,0.119091555
13,18,13,30,18,60,25,12.5,1.5,3.5,220,70,0.088765848
14,23,10,10,15,50,20,12.5,2,2,200,60,0.117249791
15,23,10,15,16,55,25,15,2.5,2.5,210,70,0.085967522
16,23,10,20,17,60,30,17.5,3,3,220,80,0.071423182
17,23,10,25,18,40,35,20,1,3.5,230,40,0.058949107
18,23,11.5,10,15,50,25,15,2.5,3,220,80,0.068910128
19,23,11.5,20,17,60,35,20,1,4,190,50,0.052346615
20,23,11.5,25,18,40,40,10,1.5,2,200,60,0.0640937
21,23,11.5,30,14,45,20,12.5,2,2.5,210,70,0.088730423
22,23,13,10,15,50,30,17.5,3,4,190,50,0.064599926
23,23,13,15,16,55,35,20,1,2,200,60,0.079057077
24,23,13,20,17,60,40,10,1.5,2.5,210,70,0.06380471
25,23,13,25,18,40,20,12.5,2,3,220,80,0.07111105
26,23,13,30,14,45,25,15,2.5,3.5,230,40,0.132595628
27,28,10,10,16,60,20,15,3,2,210,80,0.068527486
28,28,10,15,17,40,25,17.5,1,2.5,220,40,0.080390565
29,28,10,20,18,45,30,20,1.5,3,230,50,0.050266851
30,28,10,25,14,50,35,10,2,3.5,190,60,0.12515353
31,28,10,30,15,55,40,12.5,2.5,4,200,70,0.074116355
32,28,11.5,15,17,40,30,20,1.5,3.5,190,60,0.06750378
33,28,11.5,20,18,45,35,10,2,4,200,70,0.064274851
34,28,11.5,25,14,50,40,12.5,2.5,2,210,80,0.06909105
35,28,11.5,30,15,55,20,15,3,2.5,220,40,0.120875835
36,28,13,10,16,60,30,20,1.5,4,200,70,0.07116635
37,28,13,15,17,40,35,10,2,2,210,80,0.067216139
38,28,13,20,18,45,40,12.5,2.5,2.5,220,40,0.044193001
39,28,13,25,14,50,20,15,3,3,230,50,0.086206106
